10076 2
1 847.58 750
1 832.97 830.37
1 835.11 770.14
1 816.37 765.42
1 809.21 767.66
1 818.33 763.15
1 804.92 712.94
4 802.33 764.38
1 809.83 758.33
1 826.83 766.54
1 782.63 763.9
1 819 784
1 800.99 728.7
1 780.87 747.77
1 801.9 740.41
1 785.23 743.3
1 791.65 726.72
1 801.75 749.09
1 785.19 720
1 798.76 665.06
1 790.06 701.94
1 785.5 735.81
1 784.48 706.64
1 778.36 748.86
1 771.99 702.75
1 796.39 636.84
1 777.47 732.52
1 768.4 781.9
4 762.86 740
1 773 578.38
1 759.3 680.95
1 773.66 692
1 774.38 699
1 771.76 757.08
1 769.83 728.09
1 783.96 685
1 763.65 808.24
1 770.2 672.62
1 765.45 708.03
4 795.7 593.04
1 759.67 703.53
1 762.85 717.83
1 773.45 720
1 763.25 701.82
1 772.24 726.51
1 755.97 722.07
1 754.96 735.58
1 785.14 636.07
1 776.6 705.47
1 744.63 778.54
1 797.65 666.67
4 772.59 720.25
1 793.96 697.84
1 771.55 735.49
1 774.37 735.94
1 760.32 685.45
1 774.96 713.75
1 767.78 706.71
1 744.35 735.74
3 779.49 719.13
1 765.98 677.93
1 760.32 713.85
1 776.44 665.56
1 751.5 729.06
1 754.5 676.92
1 759.54 740.49
1 777.34 729.38
1 761.07 724.87
1 755.98 712.31
1 749.43 702.11
1 763.58 655.68
1 740.38 687.62
4 770.71 683.46
3 753.75 713.95
1 753 717.89
1 762.23 734.44
1 755.37 718.46
1 766.07 734.26
1 743.29 753.85
1 755.5 697.63
1 760.48 721.82
1 748.34 699.44
1 751.38 704.52
1 749.36 689.93
4 762.63 659.31
1 777.2 681.05
1 734.29 756
1 745.19 707.06
1 739.93 720.82
4 749.75 704.33
4 759.21 688.69
1 753.37 754.62
1 752.69 698.48
1 750.15 744.6
1 762.15 600.55
1 741.58 737.22
1 755.09 689.39
1 755.83 685
1 739.79 714.5
1 744.08 749
1 757.21 496.99
1 739.99 696.44
1 732.94 667.37
4 753.19 668.89
1 754.58 718.4
1 733.47 722.22
1 744.12 737.01
1 721.51 720.98
1 755.94 728.66
1 752.55 701.09
1 747.32 734.75
1 751.15 653.87
1 724.88 702.16
1 740.58 707.06
1 739.86 668.22
1 754.22 677.93
1 726.39 736.78
1 724 687.78
1 730.9 698.38
1 729.72 673.6
1 754.33 706.76
1 725.74 774.74
4 743.57 692.05
1 725.97 706.72
1 737.13 723.92
1 731.79 694.75
1 732.69 695.09
1 729.64 661.54
1 747.62 655.52
1 742.39 577.06
1 746.82 581.91
1 729.33 706.1
1 748.21 707.02
1 726.06 704.44
1 726.35 683.33
1 725.99 716.71
4 741.16 710.71
1 740.58 675.47
1 739.2 684.7
1 732.2 674.37
1 730.45 694
1 739.44 725.42
1 725.71 781.38
4 723.01 680.61
1 718.79 687.35
1 730.27 728.98
3 759.88 680.76
1 728.33 712.68
1 714.51 702
1 714.59 727.27
4 706.43 728
4 749.19 668.83
1 719.42 711.52
1 719.17 718.28
1 703.09 691.43
1 711.17 639.61
1 719.36 617.5
4 745.55 700.97
1 727.65 726.32
1 719.16 702.05
1 750.36 696.97
1 723.25 644.17
1 750.35 662.14
1 729.78 723.41
1 731.43 684
1 730.15 667.14
1 715.02 721.25
1 748.64 637.45
1 724.02 687.55
1 717.43 726.79
3 740.55 655.66
1 725.44 685.6
1 740.28 702.86
1 733.03 679.66
1 728.7 621.43
1 713.76 716.34
1 746.09 697.78
1 724.79 665.93
1 694.58 710
1 750.6 762.73
1 730.09 678.89
1 725.77 641.76
1 715.57 691.67
